,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20161031,00998,3.9372,20161130,4.0079
1,20161031,03988,2.6954,20161130,2.7821
2,20161031,06818,2.8320,20161130,2.9603
3,20161130,00998,4.0079,20161230,3.8665
4,20161130,00440,40.8694,20161230,40.8303
5,20161130,03988,2.7821,20161230,2.6796
6,20161230,00998,3.8665,20170127,4.0236
7,20161230,03988,2.6796,20170127,2.7979
8,20161230,03328,4.3663,20170127,4.5000
9,20170127,00998,4.0236,20170228,4.1887
10,20170127,03988,2.7979,20170228,3.1052
11,20170127,03328,4.5000,20170228,4.8777
12,20170228,02888,67.2970,20170331,70.8364
13,20170228,00998,4.1887,20170331,4.0551
14,20170228,03328,4.8777,20170331,4.7361
15,20170331,00998,4.0551,20170428,3.8822
16,20170331,02888,70.8364,20170428,70.3103
17,20170331,03328,4.7361,20170428,4.7597
18,20170428,00998,3.8822,20170531,4.0046
19,20170428,02888,70.3103,20170531,69.8320
20,20170428,06818,2.8962,20170531,2.9443
21,20170531,00998,4.0046,20170630,3.9798
22,20170531,02888,69.8320,20170630,74.7107
23,20170531,06818,2.9443,20170630,3.0205
24,20170630,00998,3.9798,20170731,4.1945
25,20170630,03328,4.5705,20170731,4.7945
26,20170630,01963,5.4687,20170731,5.8996
27,20170731,00998,4.1945,20170831,4.2358
28,20170731,03328,4.7945,20170831,5.0018
29,20170731,00440,48.2899,20170831,50.4568
30,20170831,00998,4.2358,20170929,4.1037
31,20170831,00440,50.4568,20170929,46.5263
32,20170831,03328,5.0018,20170929,4.7032
33,20170929,00998,4.1037,20171031,4.1945
34,20170929,00440,46.5263,20171031,47.1935
35,20170929,01988,5.1209,20171031,5.3048
36,20171031,00440,47.1935,20171130,44.4802
37,20171031,00998,4.1945,20171130,4.1284
38,20171031,06818,3.0784,20171130,3.0205
39,20171130,00440,44.4802,20171229,44.4802
40,20171130,00998,4.1284,20171229,4.0789
41,20171130,01963,5.4072,20171229,5.4512
42,20171229,00440,44.4802,20180131,46.7042
43,20171229,00998,4.0789,20180131,5.2762
44,20171229,01963,5.4512,20180131,6.1721
45,20180131,00440,46.7042,20180228,46.2149
46,20180131,01963,6.1721,20180228,5.8468
47,20180131,03328,5.5244,20180228,5.2341
48,20180228,00440,46.2149,20180329,44.1689
49,20180228,01963,5.8468,20180329,5.3369
50,20180228,00998,4.7560,20180329,4.4835
51,20180329,00440,44.1689,20180430,46.2594
52,20180329,01963,5.3369,20180430,5.1434
53,20180329,00998,4.4835,20180430,4.6073
54,20180430,01963,5.1434,20180531,4.9588
55,20180430,00440,46.2594,20180531,46.1705
56,20180430,01988,5.2058,20180531,5.1634
57,20180531,01963,4.9588,20180629,4.4379
58,20180531,00998,4.5770,20180629,4.2356
59,20180531,00440,46.1705,20180629,41.1640
