,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,00576,3.6820,20100226,3.8011
1,20100129,00330,44.9511,20100226,46.2114
2,20100129,00303,38.1223,20100226,38.8339
3,20100129,00011,66.8132,20100226,70.5695
4,20100129,00062,12.4095,20100226,12.5780
5,20100129,00321,3.0914,20100226,3.2177
6,20100129,03998,0.8930,20100226,0.9576
7,20100129,00127,2.8486,20100226,2.9137
8,20100226,00011,70.5695,20100331,67.6551
9,20100226,00303,38.8339,20100331,43.3070
10,20100226,00062,12.5780,20100331,15.4417
11,20100226,00321,3.2177,20100331,3.8272
12,20100226,03998,0.9576,20100331,1.0046
13,20100226,00127,2.9137,20100331,3.0254
14,20100331,00127,3.0254,20100430,3.0673
15,20100331,00321,3.8272,20100430,3.6095
16,20100331,00410,1.7704,20100430,1.7704
17,20100331,00303,43.3070,20100430,44.6285
18,20100331,00034,4.9731,20100430,4.7893
19,20100331,00902,2.7324,20100430,2.6613
20,20100331,00008,1.2629,20100430,1.2792
21,20100331,00659,5.6920,20100430,5.2568
22,20100331,03998,1.0046,20100430,1.3336
23,20100331,00062,15.4417,20100430,15.4698
24,20100430,00303,44.6285,20100531,39.1389
25,20100430,00410,1.7704,20100531,1.7238
26,20100430,00321,3.6095,20100531,3.4005
27,20100430,00902,2.6613,20100531,2.6652
28,20100430,00034,4.7893,20100531,4.0238
29,20100430,01387,16.3184,20100531,14.4289
30,20100430,00008,1.2792,20100531,1.2022
31,20100430,03998,1.3336,20100531,1.0692
32,20100430,00659,5.2568,20100531,5.2415
33,20100430,00062,15.4698,20100531,13.7788
34,20100531,00303,39.1389,20100630,42.6970
35,20100531,00330,38.4819,20100630,35.6724
36,20100531,00011,65.5122,20100630,66.9680
37,20100531,01387,14.4289,20100630,14.8961
38,20100531,00008,1.2022,20100630,1.3115
39,20100531,00034,4.0238,20100630,3.8683
40,20100531,00868,1.5093,20100630,1.5093
41,20100531,03998,1.0692,20100630,1.1867
42,20100531,00659,5.2415,20100630,5.3256
43,20100531,00062,13.7788,20100630,13.7483
44,20100630,00008,1.3115,20100730,1.4036
45,20100630,00011,66.9680,20100730,67.6010
46,20100630,00480,1.7827,20100730,1.9910
47,20100630,00321,3.1219,20100730,3.5882
48,20100630,03998,1.1867,20100730,1.4100
49,20100630,00330,35.6724,20100730,41.2914
50,20100630,01387,14.8961,20100730,14.7133
51,20100630,00034,3.8683,20100730,4.2546
52,20100630,00303,42.6970,20100730,44.4644
53,20100630,01098,2.7424,20100730,3.0199
54,20100730,01093,3.0565,20100831,2.7735
55,20100730,00008,1.4036,20100831,1.4553
56,20100730,00330,41.2914,20100831,37.6731
57,20100730,00011,67.6010,20100831,68.4891
58,20100730,03998,1.4100,20100831,1.5641
59,20100730,00321,3.5882,20100831,3.4173
60,20100730,00034,4.2546,20100831,3.9837
61,20100730,01387,14.7133,20100831,14.1650
62,20100730,00303,44.4644,20100831,40.4491
63,20100730,01098,3.0199,20100831,3.0522
64,20100831,03818,2.0290,20100930,2.3560
65,20100831,01093,2.7735,20100930,2.8584
66,20100831,00321,3.4173,20100930,3.9794
67,20100831,00330,37.6731,20100930,35.9278
68,20100831,00034,3.9837,20100930,4.5581
69,20100831,01387,14.1650,20100930,13.4339
70,20100831,00008,1.4553,20100930,1.6464
71,20100831,00410,2.0387,20100930,2.3331
72,20100831,01098,3.0522,20100930,3.2478
73,20100831,00303,40.4491,20100930,42.7936
74,20100930,01333,3.1057,20101029,3.1988
75,20100930,00321,3.9794,20101029,3.7231
76,20100930,03818,2.3560,20101029,2.2385
77,20100930,01093,2.8584,20101029,3.0990
78,20100930,00034,4.5581,20101029,4.4041
79,20100930,00008,1.6464,20101029,1.7050
80,20100930,00410,2.3331,20101029,2.7198
81,20100930,01387,13.4339,20101029,13.9823
82,20100930,01098,3.2478,20101029,3.3527
83,20100930,00303,42.7936,20101029,43.9793
84,20101029,00410,2.7198,20101130,2.4904
85,20101029,01093,3.0990,20101130,3.1485
86,20101029,03818,2.2385,20101130,1.8041
87,20101029,00321,3.7231,20101130,4.0243
88,20101029,01333,3.1988,20101130,2.8197
89,20101029,00008,1.7050,20101130,1.7460
90,20101029,00034,4.4041,20101130,4.3322
91,20101029,01387,13.9823,20101130,13.3425
92,20101029,01098,3.3527,20101130,3.3288
93,20101029,00303,43.9793,20101130,43.3595
94,20101130,01093,3.1485,20101231,3.0848
95,20101130,00008,1.7460,20101231,2.0096
96,20101130,00902,2.6401,20101231,2.5964
97,20101130,01333,2.8197,20101231,2.9128
98,20101130,00034,4.3322,20101231,4.7377
99,20101130,00410,2.4904,20101231,2.5499
100,20101130,03818,1.8041,20101231,1.7529
101,20101130,01098,3.3288,20101231,3.2907
102,20101130,01387,13.3425,20101231,12.3373
103,20101130,00303,43.3595,20101231,50.3080
104,20101231,03998,1.9694,20110131,1.5768
105,20101231,01333,2.9128,20110131,2.5138
106,20101231,00410,2.5499,20110131,2.5923
107,20101231,00303,50.3080,20110131,48.1207
108,20101231,01098,3.2907,20110131,3.3574
109,20101231,01999,2.0141,20110131,2.0475
110,20101231,03818,1.7529,20110131,1.7683
111,20101231,01387,12.3373,20110131,11.7890
112,20101231,01382,2.1837,20110131,2.1449
113,20101231,01200,4.4835,20110131,4.4764
114,20110131,03993,1.6962,20110228,1.7141
115,20110131,01333,2.5138,20110228,2.1281
116,20110131,01098,3.3574,20110228,3.2287
117,20110131,00303,48.1207,20110228,45.7147
118,20110131,03818,1.7683,20110228,1.5025
119,20110131,01999,2.0475,20110228,1.8803
120,20110131,03998,1.5768,20110228,1.2590
121,20110131,01387,11.7890,20110228,10.6923
122,20110131,01382,2.1449,20110228,1.8773
123,20110131,01200,4.4764,20110228,4.4194
124,20110228,03993,1.7141,20110331,1.6545
125,20110228,00303,45.7147,20110331,47.4919
126,20110228,01098,3.2287,20110331,3.1953
127,20110228,01999,1.8803,20110331,1.8635
128,20110228,01333,2.1281,20110331,2.4938
129,20110228,03818,1.5025,20110331,1.2777
130,20110228,03998,1.2590,20110331,1.4397
131,20110228,01387,10.6923,20110331,12.7942
132,20110228,01200,4.4194,20110331,4.3053
133,20110228,01382,1.8773,20110331,1.9162
134,20110331,01098,3.1953,20110429,3.2716
135,20110331,03900,5.8769,20110429,5.6681
136,20110331,00303,47.4919,20110429,48.3394
137,20110331,03993,1.6545,20110429,1.7514
138,20110331,03998,1.4397,20110429,1.4709
139,20110331,03818,1.2777,20110429,1.3492
140,20110331,03888,4.1265,20110429,4.3924
141,20110331,01999,1.8635,20110429,1.6561
142,20110331,01200,4.3053,20110429,4.2768
143,20110331,01382,1.9162,20110429,2.1190
144,20110429,01387,12.5201,20110531,12.5201
145,20110429,00303,48.3394,20110531,50.0893
146,20110429,03993,1.7514,20110531,1.6694
147,20110429,03900,5.6681,20110531,5.7185
148,20110429,03998,1.4709,20110531,1.3337
149,20110429,03818,1.3492,20110531,1.3240
150,20110429,03888,4.3924,20110531,3.7069
151,20110429,01999,1.6561,20110531,1.4520
152,20110429,01200,4.2768,20110531,4.0605
153,20110429,01382,2.1190,20110531,2.2010
154,20110531,01098,3.0796,20110630,2.8378
155,20110531,03900,5.7185,20110630,5.7001
156,20110531,01333,2.3254,20110630,2.4244
157,20110531,03993,1.6694,20110630,1.6048
158,20110531,03998,1.3337,20110630,1.5394
159,20110531,03818,1.3240,20110630,1.3080
160,20110531,03888,3.7069,20110630,3.9304
161,20110531,01999,1.4520,20110630,1.3449
162,20110531,01382,2.2010,20110630,2.2355
163,20110531,01200,4.0605,20110630,3.3675
164,20110630,00303,51.3470,20110729,51.8602
165,20110630,01333,2.4244,20110729,2.5799
166,20110630,00330,21.7721,20110729,20.2169
167,20110630,01098,2.8378,20110729,2.8674
168,20110630,03900,5.7001,20110729,5.3581
169,20110630,03993,1.6048,20110729,1.5452
170,20110630,03818,1.3080,20110729,0.9663
171,20110630,03888,3.9304,20110729,4.8711
172,20110630,03998,1.5394,20110729,1.4210
173,20110630,01200,3.3675,20110729,3.4729
174,20110729,01888,2.5665,20110831,2.4617
175,20110729,01098,2.8674,20110831,2.6698
176,20110729,00330,20.2169,20110831,18.5285
177,20110729,03900,5.3581,20110831,4.5829
178,20110729,03993,1.5452,20110831,1.1105
179,20110729,03888,4.8711,20110831,3.7255
180,20110729,02678,2.3726,20110831,1.7549
181,20110729,03998,1.4210,20110831,1.3118
182,20110729,03818,0.9663,20110831,0.8809
183,20110729,01200,3.4729,20110831,3.1490
184,20110831,01098,2.6698,20110930,2.1862
185,20110831,03818,0.8809,20110930,0.7347
186,20110831,01093,2.0930,20110930,1.4202
187,20110831,03900,4.5829,20110930,2.9641
188,20110831,02208,2.4487,20110930,2.2599
189,20110831,03888,3.7255,20110930,2.7848
190,20110831,03993,1.1105,20110930,0.8446
191,20110831,02678,1.7549,20110930,1.2886
192,20110831,03998,1.3118,20110930,1.1234
193,20110831,01200,3.1490,20110930,2.6604
194,20110930,01098,2.1862,20111031,2.1811
195,20110930,03818,0.7347,20111031,0.8163
196,20110930,02777,2.7709,20111031,3.6432
197,20110930,01093,1.4202,20111031,1.6146
198,20110930,03888,2.7848,20111031,3.3250
199,20110930,03998,1.1234,20111031,1.4665
200,20110930,03993,0.8446,20111031,1.0036
201,20110930,03900,2.9641,20111031,3.5797
202,20110930,02678,1.2886,20111031,1.7231
203,20110930,01200,2.6604,20111031,3.1238
204,20111031,02777,3.6432,20111130,2.9010
205,20111031,01098,2.1811,20111130,2.1708
206,20111031,03998,1.4665,20111130,1.4598
207,20111031,03818,0.8163,20111130,0.7129
208,20111031,03900,3.5797,20111130,2.9185
209,20111031,01093,1.6146,20111130,1.5548
210,20111031,03888,3.3250,20111130,2.8407
211,20111031,02678,1.7231,20111130,1.4359
212,20111031,03993,1.0036,20111130,0.8745
213,20111031,01200,3.1238,20111130,2.8682
214,20111130,01368,1.4393,20111230,1.5377
215,20111130,03818,0.7129,20111230,0.7075
216,20111130,02777,2.9010,20111230,2.9733
217,20111130,01382,2.1841,20111230,2.1262
218,20111130,01093,1.5548,20111230,1.2782
219,20111130,03888,2.8407,20111230,2.7289
220,20111130,03993,0.8745,20111230,0.8397
221,20111130,02678,1.4359,20111230,1.3549
222,20111130,01200,2.8682,20111230,3.2117
223,20111130,03900,2.9185,20111230,2.5841
224,20111230,01368,1.5377,20120131,1.5684
225,20111230,03818,0.7075,20120131,0.6911
226,20111230,02777,2.9733,20120131,3.5950
227,20111230,01382,2.1262,20120131,2.2680
228,20111230,03888,2.7289,20120131,2.9059
229,20111230,01200,3.2117,20120131,3.3236
230,20111230,01093,1.2782,20120131,1.4053
231,20111230,03993,0.8397,20120131,0.9490
232,20111230,02678,1.3549,20120131,1.3770
233,20111230,03900,2.5841,20120131,2.6677
234,20120131,01368,1.5684,20120229,1.7714
235,20120131,01098,2.3354,20120229,2.7212
236,20120131,03818,0.6911,20120229,0.8000
237,20120131,01382,2.2680,20120229,2.4195
238,20120131,03888,2.9059,20120229,3.4368
239,20120131,03993,0.9490,20120229,0.9738
240,20120131,01093,1.4053,20120229,1.6669
241,20120131,01200,3.3236,20120229,3.8269
242,20120131,02678,1.3770,20120229,1.9587
243,20120131,03900,2.6677,20120229,4.6510
244,20120229,01098,2.7212,20120330,2.5978
245,20120229,01368,1.7714,20120330,2.0851
246,20120229,01387,8.9840,20120330,5.0233
247,20120229,03900,4.6510,20120330,3.8835
248,20120229,02678,1.9587,20120330,1.5464
249,20120229,03818,0.8000,20120330,0.6639
250,20120229,03888,3.4368,20120330,3.1294
251,20120229,01093,1.6669,20120330,1.3604
252,20120229,01200,3.8269,20120330,3.2996
253,20120229,01382,2.4195,20120330,2.5221
254,20120330,00983,7.4082,20120430,7.4533
255,20120330,02777,4.3371,20120430,4.9636
256,20120330,00658,3.5752,20120430,3.2455
257,20120330,03998,1.6051,20120430,1.5159
258,20120330,01098,2.5978,20120430,2.5875
259,20120330,00238,1.4019,20120430,1.3410
260,20120330,03900,3.8835,20120430,4.1936
261,20120330,01382,2.5221,20120430,2.5075
262,20120330,01361,1.5427,20120430,1.5491
263,20120330,01093,1.3604,20120430,1.1960
264,20120430,00886,2.6926,20120531,2.3080
265,20120430,00983,7.4533,20120531,7.2743
266,20120430,01368,2.1343,20120531,1.9814
267,20120430,01200,3.1957,20120531,3.0529
268,20120430,00460,1.0252,20120531,0.9217
269,20120430,03998,1.5159,20120531,1.2827
270,20120430,01098,2.5875,20120531,2.4395
271,20120430,00238,1.3410,20120531,1.2008
272,20120430,01361,1.5491,20120531,1.3369
273,20120430,01382,2.5075,20120531,2.4390
274,20120531,00983,7.2743,20120629,7.1034
275,20120531,01378,2.5229,20120629,2.5160
276,20120531,00886,2.3080,20120629,1.9874
277,20120531,01368,1.9814,20120629,1.8527
278,20120531,00460,0.9217,20120629,0.9974
279,20120531,01098,2.4395,20120629,2.6829
280,20120531,00238,1.2008,20120629,1.1465
281,20120531,03998,1.2827,20120629,1.3719
282,20120531,01382,2.4390,20120629,2.3266
283,20120531,01361,1.3369,20120629,1.2025
284,20120629,00716,0.9643,20120731,1.0073
285,20120629,00983,7.1034,20120731,7.0844
286,20120629,01378,2.5160,20120731,2.2810
287,20120629,01098,2.6829,20120731,2.7045
288,20120629,01368,1.8527,20120731,1.5311
289,20120629,02020,3.2947,20120731,3.2797
290,20120629,00189,2.6277,20120731,2.9682
291,20120629,00238,1.1465,20120731,1.1733
292,20120629,01382,2.3266,20120731,2.6541
293,20120629,01361,1.2025,20120731,1.1958
294,20120731,00716,1.0073,20120831,1.0626
295,20120731,01234,2.5563,20120831,3.1122
296,20120731,01098,2.7045,20120831,2.9008
297,20120731,00189,2.9682,20120831,2.7609
298,20120731,03339,0.9584,20120831,0.8744
299,20120731,01368,1.5311,20120831,1.8398
300,20120731,02020,3.2797,20120831,3.5880
301,20120731,00238,1.1733,20120831,1.0996
302,20120731,01382,2.6541,20120831,2.5343
303,20120731,01361,1.1958,20120831,1.3772
304,20120831,01234,3.1122,20120928,2.1909
305,20120831,01361,1.3772,20120928,1.3543
306,20120831,01899,1.4455,20120928,1.5331
307,20120831,01988,3.1643,20120928,2.9776
308,20120831,01368,1.8398,20120928,1.8234
309,20120831,00190,5.9266,20120928,6.0271
310,20120831,02020,3.5880,20120928,4.2618
311,20120831,00189,2.7609,20120928,2.5611
312,20120831,00238,1.0996,20120928,1.0583
313,20120831,01382,2.5343,20120928,2.5653
314,20120928,02020,4.2618,20121031,5.0217
315,20120928,01361,1.3543,20121031,1.5157
316,20120928,01988,2.9776,20121031,3.5132
317,20120928,01368,1.8234,20121031,2.2692
318,20120928,00190,6.0271,20121031,6.2280
319,20120928,00321,2.5291,20121031,3.1308
320,20120928,01234,2.1909,20121031,2.4156
321,20120928,00189,2.5611,20121031,3.2642
322,20120928,01382,2.5653,20121031,2.6998
323,20120928,00238,1.0583,20121031,1.0721
324,20121031,02020,5.0217,20121130,4.3558
325,20121031,01361,1.5157,20121130,1.4455
326,20121031,01988,3.5132,20121130,3.6852
327,20121031,00321,3.1308,20121130,3.2838
328,20121031,01368,2.2692,20121130,2.0666
329,20121031,00189,3.2642,20121130,3.1458
330,20121031,00190,6.2280,20121130,5.8994
331,20121031,01234,2.4156,20121130,2.3595
332,20121031,01382,2.6998,20121130,3.5377
333,20121031,00238,1.0721,20121130,1.0652
334,20121130,01988,3.6852,20121231,4.3043
335,20121130,03998,1.7036,20121231,1.7181
336,20121130,01361,1.4455,20121231,1.5648
337,20121130,02020,4.3558,20121231,5.2880
338,20121130,01368,2.0666,20121231,2.2016
339,20121130,00189,3.1458,20121231,3.8342
340,20121130,01234,2.3595,20121231,2.5842
341,20121130,01382,3.5377,20121231,3.8158
342,20121130,00190,5.8994,20121231,6.3284
343,20121130,00238,1.0652,20121231,1.0099
344,20121231,01668,0.8746,20130131,0.9116
345,20121231,00303,54.0089,20130131,56.2826
346,20121231,00315,9.8055,20130131,9.4995
347,20121231,02020,5.2880,20130131,5.7267
348,20121231,01361,1.5648,20130131,1.5367
349,20121231,00189,3.8342,20130131,3.7898
350,20121231,03998,1.7181,20130131,1.6438
351,20121231,01368,2.2016,20130131,2.2354
352,20121231,01234,2.5842,20130131,2.9212
353,20121231,00190,6.3284,20130131,6.8647
354,20130131,00073,3.3586,20130228,3.5992
355,20130131,00303,56.2826,20130228,55.7531
356,20130131,02020,5.7267,20130228,5.7659
357,20130131,00315,9.4995,20130228,9.8750
358,20130131,01361,1.5367,20130228,1.5999
359,20130131,00189,3.7898,20130228,3.7602
360,20130131,03998,1.6438,20130228,1.7851
361,20130131,01368,2.2354,20130228,2.0395
362,20130131,01234,2.9212,20130228,2.5729
363,20130131,00190,6.8647,20130228,6.4357
364,20130228,01200,2.9372,20130328,2.8444
365,20130228,02020,5.7659,20130328,5.3115
366,20130228,00303,55.7531,20130328,59.1793
367,20130228,00315,9.8750,20130328,9.1223
368,20130228,03998,1.7851,20130328,1.8372
369,20130228,01361,1.5999,20130328,1.5999
370,20130228,00189,3.7602,20130328,3.3827
371,20130228,01368,2.0395,20130328,2.0260
372,20130228,01234,2.5729,20130328,2.7527
373,20130228,00190,6.4357,20130328,5.8994
374,20130328,00842,0.8716,20130430,0.8802
375,20130328,01200,2.8444,20130430,2.9710
376,20130328,02020,5.3115,20130430,5.1618
377,20130328,00190,5.8994,20130430,5.5776
378,20130328,03998,1.8372,20130430,1.5768
379,20130328,00315,9.1223,20130430,9.6539
380,20130328,01361,1.5999,20130430,1.5215
381,20130328,03993,0.8851,20130430,0.7799
382,20130328,01234,2.7527,20130430,2.6797
383,20130328,01368,2.0260,20130430,2.2151
384,20130430,01200,2.9710,20130531,2.9638
385,20130430,00315,9.6539,20130531,9.7688
386,20130430,02020,5.1618,20130531,5.8049
387,20130430,00190,5.5776,20130531,5.5776
388,20130430,00891,2.7051,20130531,2.8083
389,20130430,01361,1.5215,20130531,1.4044
390,20130430,01368,2.2151,20130531,2.3809
391,20130430,03993,0.7799,20130531,0.7876
392,20130430,03998,1.5768,20130531,1.5322
393,20130430,01234,2.6797,20130531,2.5689
394,20130531,02020,5.8049,20130628,5.5688
395,20130531,00315,9.7688,20130628,9.1654
396,20130531,01200,2.9638,20130628,2.5118
397,20130531,00891,2.8083,20130628,2.4618
398,20130531,00190,5.5776,20130628,5.0627
399,20130531,01368,2.3809,20130628,2.2541
400,20130531,03993,0.7876,20130628,0.7058
401,20130531,03998,1.5322,20130628,1.2644
402,20130531,01361,1.4044,20130628,1.3093
403,20130531,01234,2.5689,20130628,2.4505
404,20130628,00073,2.7372,20130731,2.5026
405,20130628,01171,3.6964,20130731,3.4675
406,20130628,00190,5.0627,20130731,5.3631
407,20130628,01200,2.5118,20130731,2.6943
408,20130628,01368,2.2541,20130731,2.5358
409,20130628,00891,2.4618,20130731,2.3250
410,20130628,02899,1.0857,20130731,1.2641
411,20130628,01361,1.3093,20130731,1.3020
412,20130628,03993,0.7058,20130731,0.8302
413,20130628,01234,2.4505,20130731,2.5334
414,20130731,00315,8.8925,20130830,7.7576
415,20130731,01368,2.5358,20130830,2.6979
416,20130731,00190,5.3631,20130830,5.1486
417,20130731,02789,0.3828,20130830,0.3867
418,20130731,01171,3.4675,20130830,4.5600
419,20130731,00073,2.5026,20130830,2.8057
420,20130731,03993,0.8302,20130830,0.8086
421,20130731,00891,2.3250,20130830,2.5621
422,20130731,01361,1.3020,20130830,1.3605
423,20130731,01234,2.5334,20130830,2.6807
424,20130830,00819,2.5313,20130930,2.3833
425,20130830,01361,1.3605,20130930,1.4290
426,20130830,00073,2.8057,20130930,2.6102
427,20130830,00891,2.5621,20130930,2.4093
428,20130830,00691,2.9937,20130930,2.9743
429,20130830,03998,1.2313,20130930,1.4171
430,20130830,02789,0.3867,20130930,0.4717
431,20130830,03993,0.8086,20130930,0.8248
432,20130830,00315,7.7576,20130930,7.4272
433,20130830,01234,2.6807,20130930,2.7545
434,20130930,01368,2.6676,20131031,2.7038
435,20130930,02899,1.4580,20131031,1.4037
436,20130930,00336,2.1770,20131031,2.2646
437,20130930,01030,0.6570,20131031,0.6284
438,20130930,01361,1.4290,20131031,1.6245
439,20130930,00691,2.9743,20131031,2.7127
440,20130930,00891,2.4093,20131031,2.6039
441,20130930,00819,2.3833,20131031,2.2353
442,20130930,03993,0.8248,20131031,0.8410
443,20130930,01234,2.7545,20131031,3.0434
444,20131031,00315,7.3841,20131129,6.3132
445,20131031,00336,2.2646,20131129,2.7768
446,20131031,03998,1.3939,20131129,1.2545
447,20131031,02899,1.4037,20131129,1.3882
448,20131031,00891,2.6039,20131129,2.7243
449,20131031,01030,0.6284,20131129,0.6641
450,20131031,00819,2.2353,20131129,2.1886
451,20131031,03993,0.8410,20131129,0.9005
452,20131031,01234,3.0434,20131129,3.1910
453,20131031,00691,2.7127,20131129,2.9549
454,20131129,00215,1.6770,20131231,1.6714
455,20131129,00321,4.1299,20131231,4.4374
456,20131129,01030,0.6641,20131231,0.6641
457,20131129,00891,2.7243,20131231,2.4278
458,20131129,02899,1.3882,20131231,1.2951
459,20131129,00691,2.9549,20131231,3.1584
460,20131129,00315,6.3132,20131231,6.5041
461,20131129,03993,0.9005,20131231,0.9438
462,20131129,01234,3.1910,20131231,2.9328
463,20131129,00819,2.1886,20131231,2.0251
464,20131231,02777,6.1911,20140130,5.5394
